#{"t_start": 1747010996.091233, "env_id": "None"}
r,l,t
-809.280367,672,0.276101
-1524.9995,672,0.673411
-1071.459961,672,1.020826
-429.599376,672,1.886561
-705.223541,672,2.313851
-1071.326419,672,2.743936
-220.170465,672,3.600297
-565.664134,672,3.933326
-422.516856,672,4.284424
-182.494729,672,5.113755
-175.19871,672,5.534915
-242.215145,672,5.94612
-167.604203,672,6.606235
-258.339455,672,7.0045
-392.864758,672,7.401255
-171.748807,672,8.122834
-209.625004,672,8.487567
-152.593898,672,8.828057
-155.020451,672,9.686529
-169.858454,672,10.014697
-171.741574,672,10.433117
-163.784507,672,11.160848
-165.993996,672,11.535058
-178.058688,672,11.905216
-165.554292,672,12.798696
-171.587486,672,13.165056
-165.317867,672,13.483759
-168.605748,672,14.322268
-163.297316,672,14.681359
-195.436433,672,15.03324
-161.772415,672,15.721489
-165.351872,672,16.056845
-167.273474,672,16.448367
-166.972172,672,17.252748
-165.555761,672,17.581985
-175.236763,672,17.938276
-170.574686,672,18.804808
-177.741501,672,19.12949
-172.028293,672,19.414835
-178.656338,672,20.322838
-175.898234,672,21.024573
-174.043975,672,21.356715
-172.14414,672,22.28539
-174.977105,672,22.621791
-173.349465,672,23.048287
-171.154742,672,23.725257
-177.201026,672,24.115605
-173.199286,672,24.616882
-174.944684,672,25.327832
-173.504314,672,25.793606
-178.859703,672,26.117722
-174.533169,672,27.05348
-176.522638,672,27.332633
-182.378693,672,27.728078
-178.721435,672,28.556397
-173.880126,672,28.956823
-173.825185,672,29.235526
-173.411751,672,30.101123
-172.572659,672,30.430974
-174.556651,672,30.875131
-171.634369,672,31.600068
-173.980875,672,32.001464
-174.163165,672,32.351111
-171.711166,672,32.779492
-169.300204,672,33.438965
-176.540797,672,33.785838
-214.280863,672,34.132966
-186.708101,672,34.923934
-169.682215,672,35.264181
-169.045043,672,35.666353
-186.52115,672,36.477855
-195.262678,672,36.822217
-174.085633,672,37.157486
-173.221543,672,37.910184
-176.643196,672,38.170107
-173.221239,672,38.45952
-176.271985,672,39.043681
-173.464242,672,39.322985
-171.668244,672,39.586643
-176.640252,672,40.176659
-177.868871,672,40.50511
-178.622885,672,40.758483
-176.482879,672,41.341567
-177.447183,672,41.632283
-176.883025,672,41.88463
-172.829428,672,42.46514
-180.354369,672,42.814654
-174.658088,672,43.123371
-178.257385,672,43.800367
-176.59421,672,44.168002
-172.20755,672,44.525759
-179.161498,672,45.091836
-177.87111,672,45.429773
-179.102997,672,45.761954
-179.724615,672,46.384354
-182.356979,672,46.686916
-178.698956,672,46.967071
-179.494814,672,47.59366
-177.037172,672,47.895123
-180.644125,672,48.142201
-181.806382,672,48.768053
-184.397747,672,49.046959
-185.286987,672,49.353
-181.894827,672,49.934037
-179.655113,672,50.275065
-179.708036,672,50.545239
-180.246098,672,51.127696
-176.571253,672,51.375
-176.574977,672,51.625631
-177.878963,672,52.190743
-180.497852,672,52.465287
-178.560449,672,52.804519
-176.737875,672,53.537501
-180.836855,672,53.859602
-175.982556,672,54.190507
-177.583515,672,54.751902
-177.038205,672,55.004431
-179.727671,672,55.293605
-175.977885,672,55.902798
-176.843313,672,56.260172
-178.811293,672,56.569647
-179.451182,672,57.159429
-178.684822,672,57.443314
-180.115689,672,57.779575
-180.177611,672,58.355829
-174.374394,672,58.646826
-178.103327,672,58.89992
-178.105177,672,59.226068
-179.561051,672,59.808358
-176.569091,672,60.124304
-176.214125,672,60.404257
-178.273335,672,60.960159
-180.213218,672,61.239211
-178.265875,672,61.492013
-177.389696,672,62.062375
-177.830677,672,62.342134
-179.541221,672,62.593801
-180.16506,672,63.146435
-179.838428,672,63.434366
-178.333211,672,63.708207
-181.26585,672,64.237383
-176.896573,672,64.527912
-178.318014,672,64.799974
-179.541474,672,65.35679
-176.091188,672,65.647974
-175.09369,672,65.952805
-177.09378,672,66.512481
-174.125643,672,66.829167
-175.396447,672,67.0821
