#{"t_start": 1747000284.9245682, "env_id": "None"}
r,l,t
2995640.483293,2688,1.943498
2942353.106808,2688,3.265463
2897733.354488,2688,4.618253
2862784.752961,2688,6.248753
2773030.097072,2688,7.588533
2701241.238807,2688,8.928103
2593424.525237,2688,10.626053
2658891.033612,2688,11.988227
2566214.610807,2688,13.326144
2488049.068299,2688,14.962398
2290646.809328,2688,16.323951
2274895.161097,2688,17.695892
2173690.030185,2688,19.338398
2215884.20606,2688,20.701498
2111000.066947,2688,22.069965
2193915.519758,2688,23.456601
2047647.82246,2688,25.137045
2038602.937578,2688,26.520894
1955512.7765,2688,27.901678
1970721.656782,2688,29.574885
1955758.481393,2688,30.983859
1983157.205651,2688,32.373741
2037965.84887,2688,34.079757
2083087.701701,2688,35.493358
1964392.635363,2688,36.884601
1965012.040955,2688,38.585335
1854691.380776,2688,39.976224
1746076.563892,2688,41.376313
1757412.400501,2688,43.008578
1807429.378272,2688,44.420409
1741101.503871,2688,45.79918
1818013.88886,2688,47.248122
1773615.221312,2688,49.052335
1726351.8936,2688,50.530699
1789959.818451,2688,52.037579
1832559.260322,2688,53.799371
1884743.873687,2688,55.244604
