#{"t_start": 1747005741.979444, "env_id": "None"}
r,l,t
-4387.350812,672,0.989475
-3611.053193,672,1.338779
-3171.755308,672,1.68534
-3696.156096,672,2.377577
-3501.095186,672,2.81146
-3097.406965,672,3.273377
-2582.721093,672,4.123993
-2930.40287,672,4.598629
-2555.920426,672,4.989773
-2327.936976,672,5.648552
-2500.084977,672,6.033616
-2109.113992,672,6.376906
-2034.402148,672,7.012663
-2237.60088,672,7.362464
-1414.287789,672,7.744133
-1308.232297,672,8.382366
-1533.647628,672,8.737324
-1372.167532,672,9.124198
-1534.268385,672,9.821412
-1148.585436,672,10.175489
-962.864997,672,10.566247
-955.387492,672,11.248128
-1112.360623,672,11.592751
-1260.806392,672,11.98267
-966.394826,672,12.623237
-2121.676342,672,13.005665
-913.714254,672,13.372292
-1038.454108,672,14.042207
-638.944804,672,14.401909
-1266.863019,672,14.790268
-818.700673,672,15.461058
-659.657207,672,15.877126
-903.348945,672,16.265135
-1127.145299,672,16.932804
-818.766678,672,17.283183
-858.674576,672,17.669244
-535.361444,672,18.339594
-559.01095,672,18.700601
-868.369422,672,19.082481
-934.169829,672,19.753132
-784.612079,672,20.108477
-776.343379,672,20.499027
-641.725988,672,21.165628
-814.601081,672,21.547953
-673.13554,672,21.93615
-612.050458,672,22.607104
-809.839092,672,22.989195
-773.916564,672,23.373023
-549.535585,672,24.034071
-670.357697,672,24.396341
-619.70331,672,24.810153
-599.421015,672,25.468005
-441.654486,672,25.831042
-711.275124,672,26.203973
-1081.947472,672,26.914333
-517.754743,672,27.276838
-589.830251,672,27.651034
-660.263857,672,28.351826
-595.207347,672,28.733325
-906.419338,672,29.08145
-425.12038,672,29.796125
-576.718222,672,30.150664
-522.30996,672,30.643425
-650.015301,672,30.985439
-670.344487,672,31.659106
-656.596725,672,32.05249
-653.782354,672,32.448593
-651.263531,672,33.122974
-785.230057,672,33.51022
-574.74731,672,33.905524
-650.908065,672,34.577949
-664.299043,672,34.971268
-902.638942,672,35.359295
-889.788421,672,36.032482
-516.936844,672,36.424484
-544.954611,672,36.797393
-680.13014,672,37.487053
-644.714589,672,37.859694
-592.070039,672,38.26463
-763.739564,672,38.956112
-447.548681,672,39.342948
-513.763681,672,39.783237
-633.009858,672,40.497741
-541.928007,672,40.874413
-610.454441,672,41.273806
-525.627345,672,41.988113
-471.311767,672,42.37441
-736.511909,672,42.766642
-563.797721,672,43.491949
-585.089988,672,43.925641
-945.840537,672,44.33921
-1060.604169,672,45.049899
-585.814391,672,45.479708
-542.150612,672,45.902766
-635.994129,672,46.640906
-737.723415,672,47.059168
-773.332428,672,47.517309
-658.708976,672,48.205478
-721.069591,672,48.635311
-489.227837,672,49.069836
-520.953341,672,49.774819
-499.541344,672,50.304234
-698.600125,672,50.720549
-598.101792,672,51.427841
-471.576761,672,51.847705
-757.174315,672,52.262714
-694.23303,672,52.974148
-520.523995,672,53.370966
-504.288855,672,53.830141
-842.587594,672,54.534979
-626.812657,672,54.952029
-660.492295,672,55.377931
-609.606516,672,56.099841
-598.433089,672,56.531485
-623.0197,672,56.964406
-799.695244,672,57.67456
-603.551978,672,58.059478
-621.104912,672,58.506018
-627.702011,672,59.227318
-555.030517,672,59.650599
-567.099076,672,60.066755
-570.855378,672,60.774962
-698.734632,672,61.200728
-681.569632,672,61.616903
-652.737098,672,62.332209
-490.934823,672,62.720055
-635.421524,672,63.134587
-591.192684,672,63.546463
-629.337048,672,64.273323
-530.985845,672,64.717672
-577.605109,672,65.149547
-421.633424,672,65.953562
-474.184655,672,66.392601
-642.402903,672,66.905069
-549.775854,672,67.630311
-704.09267,672,68.067692
-566.620242,672,68.555921
-595.994885,672,69.282665
-830.385251,672,69.71806
-800.641121,672,70.133129
-657.325589,672,70.917556
-701.146378,672,71.308857
-541.63652,672,71.829514
-648.549951,672,72.546073
-686.051557,672,72.947968
-576.278475,672,73.38938
-594.944326,672,74.19608
-574.164621,672,74.577666
-786.032311,672,75.049942
